WKT,GEOID,NAME,TotalForeignBornE,TotalForeignBornM,EuropeE,EuropeM,Northern EuropeE,Northern EuropeM,United Kingdom (inc. Crown Dependencies)E,United Kingdom (inc. Crown Dependencies)M,United Kingdom excluding England and ScotlandE,United Kingdom excluding England and ScotlandM,EnglandE,EnglandM,ScotlandE,ScotlandM,IrelandE,IrelandM,DenmarkE,DenmarkM,NorwayE,NorwayM,SwedenE,SwedenM,Other Northern EuropeE,Other Northern EuropeM,Western EuropeE,Western EuropeM,AustriaE,AustriaM,BelgiumE,BelgiumM,FranceE,FranceM,GermanyE,GermanyM,NetherlandsE,NetherlandsM,SwitzerlandE,SwitzerlandM,Other Western EuropeE,Other Western EuropeM,Southern EuropeE,Southern EuropeM,GreeceE,GreeceM,ItalyE,ItalyM,PortugalE,PortugalM,Azores IslandsE,Azores IslandsM,SpainE,SpainM,Other Southern EuropeE,Other Southern EuropeM,Eastern EuropeE,Eastern EuropeM,AlbaniaE,AlbaniaM,BelarusE,BelarusM,BulgariaE,BulgariaM,CroatiaE,CroatiaM,Czechoslovakia (includes Czech Republic and Slovakia)E,Czechoslovakia (includes Czech Republic and Slovakia)M,HungaryE,HungaryM,LatviaE,LatviaM,LithuaniaE,LithuaniaM,MacedoniaE,MacedoniaM,MoldovaE,MoldovaM,PolandE,PolandM,RomaniaE,RomaniaM,RussiaE,RussiaM,UkraineE,UkraineM,Bosnia and HerzegovinaE,Bosnia and HerzegovinaM,SerbiaE,SerbiaM,Other Eastern EuropeE,Other Eastern EuropeM,Europe n.e.c.E,Europe n.e.c.M,AsiaE,AsiaM,Eastern AsiaE,Eastern AsiaM,ChinaE,ChinaM,China excluding Hong Kong and TaiwanE,China excluding Hong Kong and TaiwanM,Hong KongE,Hong KongM,TaiwanE,TaiwanM,JapanE,JapanM,KoreaE,KoreaM,Other Eastern AsiaE,Other Eastern AsiaM,South Central AsiaE,South Central AsiaM,AfghanistanE,AfghanistanM,BangladeshE,BangladeshM,IndiaE,IndiaM,IranE,IranM,KazakhstanE,KazakhstanM,NepalE,NepalM,PakistanE,PakistanM,Sri LankaE,Sri LankaM,UzbekistanE,UzbekistanM,Other South Central AsiaE,Other South Central AsiaM,South Eastern AsiaE,South Eastern AsiaM,CambodiaE,CambodiaM,IndonesiaE,IndonesiaM,LaosE,LaosM,MalaysiaE,MalaysiaM,BurmaE,BurmaM,PhilippinesE,PhilippinesM,SingaporeE,SingaporeM,ThailandE,ThailandM,VietnamE,VietnamM,Other South Eastern AsiaE,Other South Eastern AsiaM,Western AsiaE,Western AsiaM,IraqE,IraqM,IsraelE,IsraelM,JordanE,JordanM,KuwaitE,KuwaitM,LebanonE,LebanonM,Saudi ArabiaE,Saudi ArabiaM,SyriaE,SyriaM,YemenE,YemenM,TurkeyE,TurkeyM,ArmeniaE,ArmeniaM,Other Western AsiaE,Other Western AsiaM,Asia n.e.c.E,Asia n.e.c.M,AfricaE,AfricaM,Eastern AfricaE,Eastern AfricaM,EritreaE,EritreaM,EthiopiaE,EthiopiaM,KenyaE,KenyaM,SomaliaE,SomaliaM,Other Eastern AfricaE,Other Eastern AfricaM,Middle AfricaE,Middle AfricaM,CameroonE,CameroonM,Other Middle AfricaE,Other Middle AfricaM,Northern AfricaE,Northern AfricaM,EgyptE,EgyptM,MoroccoE,MoroccoM,SudanE,SudanM,Other Northern AfricaE,Other Northern AfricaM,Southern AfricaE,Southern AfricaM,South AfricaE,South AfricaM,Other Southern AfricaE,Other Southern AfricaM,Western AfricaE,Western AfricaM,Cabo VerdeE,Cabo VerdeM,GhanaE,GhanaM,LiberiaE,LiberiaM,NigeriaE,NigeriaM,Sierra LeoneE,Sierra LeoneM,Other Western AfricaE,Other Western AfricaM,Africa n.e.c.E,Africa n.e.c.M,OceaniaE,OceaniaM,Australia and New Zealand SubregionE,Australia and New Zealand SubregionM,AustraliaE,AustraliaM,Other Australian and New Zealand SubregionE,Other Australian and New Zealand SubregionM,FijiE,FijiM,Oceania n.e.c.E,Oceania n.e.c.M,AmericasE,AmericasM,Latin AmericaE,Latin AmericaM,CaribbeanE,CaribbeanM,BahamasE,BahamasM,BarbadosE,BarbadosM,CubaE,CubaM,DominicaE,DominicaM,Dominican RepublicE,Dominican RepublicM,GrenadaE,GrenadaM,HaitiE,HaitiM,JamaicaE,JamaicaM,St. Vincent and the GrenadinesE,St. Vincent and the GrenadinesM,Trinidad and TobagoE,Trinidad and TobagoM,West IndiesE,West IndiesM,Other CaribbeanE,Other CaribbeanM,Central AmericaE,Central AmericaM,MexicoE,MexicoM,BelizeE,BelizeM,Costa RicaE,Costa RicaM,El SalvadorE,El SalvadorM,GuatemalaE,GuatemalaM,HondurasE,HondurasM,NicaraguaE,NicaraguaM,PanamaE,PanamaM,Other Central AmericaE,Other Central AmericaM,South AmericaE,South AmericaM,ArgentinaE,ArgentinaM,BoliviaE,BoliviaM,BrazilE,BrazilM,ChileE,ChileM,ColombiaE,ColombiaM,EcuadorE,EcuadorM,GuyanaE,GuyanaM,PeruE,PeruM,UruguayE,UruguayM,VenezuelaE,VenezuelaM,Other South AmericaE,Other South AmericaM,Northern AmericaE,Northern AmericaM,CanadaE,CanadaM,Other Northern AmericaE,Other Northern AmericaM
"POLYGON ((-76.992324 38.864631,-76.988977 38.86795,-76.988708 38.867515,-76.984361 38.866634,-76.983186 38.86642,-76.982171 38.865326,-76.982679 38.863615,-76.982963 38.861313,-76.983666 38.86053,-76.988033 38.860199,-76.988273 38.860362,-76.990452 38.86255,-76.991221 38.863318,-76.992324 38.864631))","11001007503","Census Tract 75.03, District of Columbia, District of Columbia",64,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,37,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,20,0,12,0,12,0,12,0,12,13,20,0,12,24,27,0,12,0,12,0,12,0,12,0,12,0,12,27,30,27,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,30,0,12,0,12,0,12,0,12,0,12,0,12,18,28,0,12,0,12,9,14,0,12,0,12,0,12,0,12
"POLYGON ((-76.990102 38.871349,-76.983957 38.874928,-76.978031 38.876881,-76.976205 38.876025,-76.972917 38.874582,-76.971334 38.873909,-76.970966 38.873304,-76.97094 38.868762,-76.970692 38.868247,-76.974963 38.868243,-76.979007 38.868232,-76.981247 38.86823,-76.982226 38.867737,-76.984361 38.866634,-76.988708 38.867515,-76.988977 38.86795,-76.988166 38.868536,-76.990102 38.871349))","11001007601","Census Tract 76.01, District of Columbia, District of Columbia",166,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,24,8,13,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,21,0,12,14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,144,87,144,87,76,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,39,50,0,12,24,27,0,12,13,20,58,62,0,12,0,12,0,12,0,12,0,12,34,52,0,12,24,31,0,12,10,18,5,9,0,12,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"POLYGON ((-76.978031 38.876881,-76.973299 38.87839,-76.971454 38.880633,-76.963548 38.881788,-76.958873 38.881706,-76.961464 38.878156,-76.962018 38.877809,-76.96492 38.876364,-76.964772 38.871087,-76.967771 38.872308,-76.969821 38.87313,-76.970531 38.873522,-76.971334 38.873909,-76.972917 38.874582,-76.976205 38.876025,-76.978031 38.876881))","11001007709","Census Tract 77.09, District of Columbia, District of Columbia",65,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,65,63,65,63,22,20,0,12,0,12,4,10,0,12,0,12,0,12,0,12,12,17,0,12,0,12,6,9,0,12,27,54,0,12,0,12,0,12,27,54,0,12,0,12,0,12,0,12,0,12,16,22,0,12,0,12,16,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"POLYGON ((-77.009046 38.954815,-77.004983 38.955693,-77.003794 38.955888,-77.003249 38.956122,-77.002351 38.956467,-77.002175 38.956664,-77.000275 38.955294,-76.997788 38.957167,-76.9918925205442 38.9572123964546,-76.9895171223131 38.9553763103972,-76.987925151061 38.9541457814773,-76.9859369495824 38.9526089827349,-76.988396 38.953238,-76.989257 38.952409,-76.994548 38.952295,-76.995986 38.951996,-76.999156 38.951821,-77.001721 38.950878,-77.000266 38.946962,-77.003314 38.949436,-77.004803 38.951718,-77.009007 38.952407,-77.009046 38.954815))","11001009508","Census Tract 95.08, District of Columbia, District of Columbia",740,282,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,71,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,63,70,9,15,0,12,0,12,0,12,0,12,54,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,214,141,41,60,41,60,0,12,0,12,0,12,0,12,71,100,71,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,102,87,0,12,36,57,0,12,66,66,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,455,243,455,243,120,118,0,12,0,12,0,12,0,12,0,12,0,12,0,12,120,118,0,12,0,12,0,12,0,12,283,235,0,12,60,85,0,12,210,226,0,12,0,12,0,12,13,20,0,12,52,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,69,0,12,0,12,0,12,0,12,0,12
"POLYGON ((-76.935916 38.885981,-76.932944 38.885709,-76.932047 38.889806,-76.930054 38.88982,-76.929767 38.889344,-76.927604 38.888652,-76.928696 38.883656,-76.929322 38.880769,-76.929316 38.880674,-76.93101 38.88068,-76.93304 38.881491,-76.933624 38.882273,-76.934832 38.883733,-76.935916 38.885981))","11001009904","Census Tract 99.04, District of Columbia, District of Columbia",265,224,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,9,0,12,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,26,8,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,2,0,12,0,12,0,12,1,2,0,12,0,12,17,23,0,12,0,12,0,12,0,12,0,12,0,12,234,223,224,222,29,39,0,12,0,12,0,12,0,12,22,37,0,12,0,12,0,12,0,12,7,12,0,12,0,12,176,224,176,224,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,32,0,12,0,12,0,12,0,12,0,12,0,12,19,32,0,12,0,12,0,12,0,12,10,10,10,10,0,12
"POLYGON ((-76.98301 38.900717,-76.981778 38.902706,-76.980922 38.904009,-76.978838 38.907271,-76.976208 38.906282,-76.970205 38.905621,-76.972461 38.904587,-76.976216 38.903068,-76.982399 38.900522,-76.98301 38.900717))","11001008903","Census Tract 89.03, District of Columbia, District of Columbia",397,189,8,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,0,12,0,12,0,12,8,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,45,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,45,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,45,69,0,12,139,145,0,12,0,12,0,12,0,12,0,12,0,12,73,105,73,105,0,12,66,89,0,12,0,12,66,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,205,146,205,146,103,103,0,12,0,12,10,16,0,12,59,94,0,12,0,12,0,12,0,12,34,44,0,12,0,12,38,53,0,12,0,12,0,12,38,53,0,12,0,12,0,12,0,12,0,12,64,73,0,12,0,12,64,73,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"POLYGON ((-77.002993 38.925243,-77.002444 38.925594,-76.994966 38.925582,-76.99465 38.925582,-76.995047 38.92399,-76.996193 38.921328,-77.000569 38.919761,-77.000569 38.922985,-77.00057 38.923439,-77.003556 38.923429,-77.002993 38.925243))","11001009204","Census Tract 92.04, District of Columbia, District of Columbia",332,188,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,14,21,14,21,14,21,14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,82,92,69,88,0,12,69,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,21,0,12,0,12,0,12,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,228,170,228,170,72,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,72,88,0,12,0,12,0,12,0,12,118,142,0,12,0,12,0,12,118,142,0,12,0,12,0,12,0,12,0,12,38,60,0,12,0,12,0,12,0,12,0,12,0,12,38,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"POLYGON ((-76.953001 38.866279,-76.949791 38.867902,-76.948511 38.871309,-76.948079 38.874471,-76.949187 38.877888,-76.948208 38.879533,-76.945772 38.880869,-76.944864 38.879093,-76.942981 38.877043,-76.9349713257387 38.8728417778189,-76.9359441963954 38.8720799964498,-76.9394901437423 38.8693034334956,-76.9436412723316 38.8660529989201,-76.9467019673844 38.8636564003058,-76.9467461839551 38.8636217776563,-76.951324 38.865594,-76.953001 38.866279))","11001009902","Census Tract 99.02, District of Columbia, District of Columbia",47,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,10,0,12,0,12,0,12,0,12,0,12,5,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,76,42,76,0,12,42,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"POLYGON ((-77.068723 38.901015,-77.062749 38.902101,-77.062811 38.905177,-77.062846 38.906414,-77.063448 38.907609,-77.063582 38.90786,-77.064904 38.91036,-77.065139 38.910806,-77.067824 38.915804,-77.068752 38.916966,-77.067388 38.917759,-77.066894 38.918656,-77.063824 38.918446,-77.059084 38.918313,-77.05832 38.917762,-77.059067 38.91592,-77.055323 38.91293,-77.05312 38.91215,-77.05126 38.910753,-77.050146 38.909635,-77.053601 38.908496,-77.055491 38.905254,-77.055916 38.904536,-77.056637 38.903295,-77.057787 38.902545,-77.058538 38.901036,-77.056653 38.897669,-77.056637 38.894789,-77.055942 38.893082,-77.063252 38.891775,-77.0646579445255 38.8918438452555,-77.067299 38.899211,-77.068199 38.899811,-77.0693711968326 38.9003662511312,-77.068723 38.901015))","11001000100","Census Tract 1, District of Columbia, District of Columbia",1214,338,500,267,157,185,47,44,32,37,15,24,0,17,0,17,0,17,0,17,110,176,0,17,206,119,37,58,0,17,62,78,86,65,21,35,0,17,0,17,38,38,25,31,0,17,0,17,0,17,13,22,0,17,99,98,0,17,0,17,0,17,0,17,0,17,32,49,0,17,0,17,0,17,0,17,0,17,48,78,0,17,19,31,0,17,0,17,0,17,0,17,237,158,122,83,60,58,34,42,0,17,26,39,4,11,58,55,0,17,78,122,0,17,78,122,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,23,0,17,23,34,23,34,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,39,41,10,17,0,17,0,17,0,17,0,17,10,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,36,29,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,72,58,72,58,15,23,57,53,0,17,0,17,366,173,353,172,68,64,0,17,0,17,68,64,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,36,42,21,33,0,17,15,24,0,17,0,17,0,17,0,17,0,17,0,17,249,143,37,45,0,17,0,17,24,34,150,116,0,17,0,17,38,54,0,17,0,17,0,17,13,22,13,22,0,17
"POLYGON ((-77.1054024360726 38.9171920702241,-77.102381 38.919821,-77.100631 38.919731,-77.098579 38.921149,-77.099429 38.92207,-77.098963 38.922222,-77.09548 38.927008,-77.096422 38.929977,-77.09325 38.932603,-77.091069 38.933197,-77.088163 38.9353,-77.085585 38.937662,-77.08183 38.93494,-77.079765 38.933432,-77.079155 38.932985,-77.08039 38.930196,-77.081514 38.926154,-77.081987 38.922341,-77.082272 38.921493,-77.082035 38.919318,-77.088746 38.919166,-77.088705 38.91644,-77.092711 38.916261,-77.094673 38.915629,-77.096354 38.91412,-77.1010155931084 38.9109831445552,-77.1012 38.911111,-77.1016445994152 38.9114747631579,-77.1034 38.912911,-77.1054024360726 38.9171920702241))","11001000801","Census Tract 8.01, District of Columbia, District of Columbia",1439,306,515,193,205,128,158,124,158,124,0,17,0,17,21,24,26,28,0,17,0,17,0,17,165,99,0,17,19,29,97,69,38,38,11,20,0,17,0,17,78,62,0,17,78,62,0,17,0,17,0,17,0,17,67,52,0,17,0,17,0,17,0,17,9,14,15,23,0,17,0,17,0,17,0,17,13,21,16,26,0,17,0,17,0,17,0,17,14,22,0,17,511,204,139,78,88,59,66,52,19,29,3,6,32,42,7,11,12,16,277,197,0,17,29,33,5,14,226,191,2,5,0,17,15,26,0,17,0,17,0,17,37,38,0,17,0,17,0,17,0,17,0,17,31,36,6,13,0,17,0,17,0,17,44,42,0,17,0,17,11,18,0,17,12,18,21,35,0,17,0,17,0,17,0,17,0,17,14,24,73,54,32,37,0,17,0,17,32,37,0,17,0,17,0,17,0,17,0,17,28,33,16,27,12,19,0,17,0,17,0,17,0,17,0,17,13,21,0,17,0,17,6,13,7,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,340,126,314,123,35,53,0,17,4,11,0,17,0,17,31,53,0,17,0,17,0,17,0,17,0,17,0,17,0,17,63,63,0,17,0,17,0,17,0,17,0,17,0,17,18,28,45,58,0,17,216,97,41,50,43,49,85,72,0,17,15,23,19,29,0,17,0,17,0,17,13,22,0,17,26,30,26,30,0,17
