GEOID,NAME,TotalForeignBornE,TotalForeignBornM,EuropeE,EuropeM,Northern EuropeE,Northern EuropeM,United Kingdom (inc. Crown Dependencies)E,United Kingdom (inc. Crown Dependencies)M,United Kingdom excluding England and ScotlandE,United Kingdom excluding England and ScotlandM,EnglandE,EnglandM,ScotlandE,ScotlandM,IrelandE,IrelandM,DenmarkE,DenmarkM,NorwayE,NorwayM,SwedenE,SwedenM,Other Northern EuropeE,Other Northern EuropeM,Western EuropeE,Western EuropeM,AustriaE,AustriaM,BelgiumE,BelgiumM,FranceE,FranceM,GermanyE,GermanyM,NetherlandsE,NetherlandsM,SwitzerlandE,SwitzerlandM,Other Western EuropeE,Other Western EuropeM,Southern EuropeE,Southern EuropeM,GreeceE,GreeceM,ItalyE,ItalyM,PortugalE,PortugalM,Azores IslandsE,Azores IslandsM,SpainE,SpainM,Other Southern EuropeE,Other Southern EuropeM,Eastern EuropeE,Eastern EuropeM,AlbaniaE,AlbaniaM,BelarusE,BelarusM,BulgariaE,BulgariaM,CroatiaE,CroatiaM,Czechoslovakia (includes Czech Republic and Slovakia)E,Czechoslovakia (includes Czech Republic and Slovakia)M,HungaryE,HungaryM,LatviaE,LatviaM,LithuaniaE,LithuaniaM,MacedoniaE,MacedoniaM,MoldovaE,MoldovaM,PolandE,PolandM,RomaniaE,RomaniaM,RussiaE,RussiaM,UkraineE,UkraineM,Bosnia and HerzegovinaE,Bosnia and HerzegovinaM,SerbiaE,SerbiaM,Other Eastern EuropeE,Other Eastern EuropeM,Europe n.e.c.E,Europe n.e.c.M,AsiaE,AsiaM,Eastern AsiaE,Eastern AsiaM,ChinaE,ChinaM,China excluding Hong Kong and TaiwanE,China excluding Hong Kong and TaiwanM,Hong KongE,Hong KongM,TaiwanE,TaiwanM,JapanE,JapanM,KoreaE,KoreaM,Other Eastern AsiaE,Other Eastern AsiaM,South Central AsiaE,South Central AsiaM,AfghanistanE,AfghanistanM,BangladeshE,BangladeshM,IndiaE,IndiaM,IranE,IranM,KazakhstanE,KazakhstanM,NepalE,NepalM,PakistanE,PakistanM,Sri LankaE,Sri LankaM,UzbekistanE,UzbekistanM,Other South Central AsiaE,Other South Central AsiaM,South Eastern AsiaE,South Eastern AsiaM,CambodiaE,CambodiaM,IndonesiaE,IndonesiaM,LaosE,LaosM,MalaysiaE,MalaysiaM,BurmaE,BurmaM,PhilippinesE,PhilippinesM,SingaporeE,SingaporeM,ThailandE,ThailandM,VietnamE,VietnamM,Other South Eastern AsiaE,Other South Eastern AsiaM,Western AsiaE,Western AsiaM,IraqE,IraqM,IsraelE,IsraelM,JordanE,JordanM,KuwaitE,KuwaitM,LebanonE,LebanonM,Saudi ArabiaE,Saudi ArabiaM,SyriaE,SyriaM,YemenE,YemenM,TurkeyE,TurkeyM,ArmeniaE,ArmeniaM,Other Western AsiaE,Other Western AsiaM,Asia n.e.c.E,Asia n.e.c.M,AfricaE,AfricaM,Eastern AfricaE,Eastern AfricaM,EritreaE,EritreaM,EthiopiaE,EthiopiaM,KenyaE,KenyaM,SomaliaE,SomaliaM,Other Eastern AfricaE,Other Eastern AfricaM,Middle AfricaE,Middle AfricaM,CameroonE,CameroonM,Other Middle AfricaE,Other Middle AfricaM,Northern AfricaE,Northern AfricaM,EgyptE,EgyptM,MoroccoE,MoroccoM,SudanE,SudanM,Other Northern AfricaE,Other Northern AfricaM,Southern AfricaE,Southern AfricaM,South AfricaE,South AfricaM,Other Southern AfricaE,Other Southern AfricaM,Western AfricaE,Western AfricaM,Cabo VerdeE,Cabo VerdeM,GhanaE,GhanaM,LiberiaE,LiberiaM,NigeriaE,NigeriaM,Sierra LeoneE,Sierra LeoneM,Other Western AfricaE,Other Western AfricaM,Africa n.e.c.E,Africa n.e.c.M,OceaniaE,OceaniaM,Australia and New Zealand SubregionE,Australia and New Zealand SubregionM,AustraliaE,AustraliaM,Other Australian and New Zealand SubregionE,Other Australian and New Zealand SubregionM,FijiE,FijiM,Oceania n.e.c.E,Oceania n.e.c.M,AmericasE,AmericasM,Latin AmericaE,Latin AmericaM,CaribbeanE,CaribbeanM,BahamasE,BahamasM,BarbadosE,BarbadosM,CubaE,CubaM,DominicaE,DominicaM,Dominican RepublicE,Dominican RepublicM,GrenadaE,GrenadaM,HaitiE,HaitiM,JamaicaE,JamaicaM,St. Vincent and the GrenadinesE,St. Vincent and the GrenadinesM,Trinidad and TobagoE,Trinidad and TobagoM,West IndiesE,West IndiesM,Other CaribbeanE,Other CaribbeanM,Central AmericaE,Central AmericaM,MexicoE,MexicoM,BelizeE,BelizeM,Costa RicaE,Costa RicaM,El SalvadorE,El SalvadorM,GuatemalaE,GuatemalaM,HondurasE,HondurasM,NicaraguaE,NicaraguaM,PanamaE,PanamaM,Other Central AmericaE,Other Central AmericaM,South AmericaE,South AmericaM,ArgentinaE,ArgentinaM,BoliviaE,BoliviaM,BrazilE,BrazilM,ChileE,ChileM,ColombiaE,ColombiaM,EcuadorE,EcuadorM,GuyanaE,GuyanaM,PeruE,PeruM,UruguayE,UruguayM,VenezuelaE,VenezuelaM,Other South AmericaE,Other South AmericaM,Northern AmericaE,Northern AmericaM,CanadaE,CanadaM,Other Northern AmericaE,Other Northern AmericaM,geometry
11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",64,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,37,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,20,0,12,0,12,0,12,0,12,13,20,0,12,24,27,0,12,0,12,0,12,0,12,0,12,0,12,27,30,27,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,30,0,12,0,12,0,12,0,12,0,12,0,12,18,28,0,12,0,12,9,14,0,12,0,12,0,12,0,12,"list(c(-76.992324, -76.988977, -76.988708, -76.984361, -76.983186, -76.982171, -76.982679, -76.982963, -76.983666, -76.988033, -76.988273, -76.990452, -76.991221, -76.992324, 38.864631, 38.86795, 38.867515, 38.866634, 38.86642, 38.865326, 38.863615, 38.861313, 38.86053, 38.860199, 38.860362, 38.86255, 38.863318, 38.864631))"
11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",166,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,24,8,13,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,21,0,12,14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,144,87,144,87,76,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,39,50,0,12,24,27,0,12,13,20,58,62,0,12,0,12,0,12,0,12,0,12,34,52,0,12,24,31,0,12,10,18,5,9,0,12,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,"list(c(-76.990102, -76.983957, -76.978031, -76.976205, -76.972917, -76.971334, -76.970966, -76.97094, -76.970692, -76.974963, -76.979007, -76.981247, -76.982226, -76.984361, -76.988708, -76.988977, -76.988166, -76.990102, 38.871349, 38.874928, 38.876881, 38.876025, 38.874582, 38.873909, 38.873304, 38.868762, 38.868247, 38.868243, 38.868232, 38.86823, 38.867737, 38.866634, 38.867515, 38.86795, 38.868536, 38.871349))"
11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",65,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,65,63,65,63,22,20,0,12,0,12,4,10,0,12,0,12,0,12,0,12,12,17,0,12,0,12,6,9,0,12,27,54,0,12,0,12,0,12,27,54,0,12,0,12,0,12,0,12,0,12,16,22,0,12,0,12,16,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,"list(c(-76.978031, -76.973299, -76.971454, -76.963548, -76.958873, -76.961464, -76.962018, -76.96492, -76.964772, -76.967771, -76.969821, -76.970531, -76.971334, -76.972917, -76.976205, -76.978031, 38.876881, 38.87839, 38.880633, 38.881788, 38.881706, 38.878156, 38.877809, 38.876364, 38.871087, 38.872308, 38.87313, 38.873522, 38.873909, 38.874582, 38.876025, 38.876881))"
11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",740,282,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,71,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,63,70,9,15,0,12,0,12,0,12,0,12,54,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,214,141,41,60,41,60,0,12,0,12,0,12,0,12,71,100,71,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,102,87,0,12,36,57,0,12,66,66,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,455,243,455,243,120,118,0,12,0,12,0,12,0,12,0,12,0,12,0,12,120,118,0,12,0,12,0,12,0,12,283,235,0,12,60,85,0,12,210,226,0,12,0,12,0,12,13,20,0,12,52,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,69,0,12,0,12,0,12,0,12,0,12,"list(c(-77.009046, -77.004983, -77.003794, -77.003249, -77.002351, -77.002175, -77.000275, -76.997788, -76.9918925205442, -76.9895171223131, -76.987925151061, -76.9859369495824, -76.988396, -76.989257, -76.994548, -76.995986, -76.999156, -77.001721, -77.000266, -77.003314, -77.004803, -77.009007, -77.009046, 38.954815, 38.955693, 38.955888, 38.956122, 38.956467, 38.956664, 38.955294, 38.957167, 38.9572123964546, 38.9553763103972, 38.9541457814773, 38.9526089827349, 38.953238, 38.952409, 38.952295, 
38.951996, 38.951821, 38.950878, 38.946962, 38.949436, 38.951718, 38.952407, 38.954815))"
11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",265,224,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,9,0,12,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,26,8,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,2,0,12,0,12,0,12,1,2,0,12,0,12,17,23,0,12,0,12,0,12,0,12,0,12,0,12,234,223,224,222,29,39,0,12,0,12,0,12,0,12,22,37,0,12,0,12,0,12,0,12,7,12,0,12,0,12,176,224,176,224,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,32,0,12,0,12,0,12,0,12,0,12,0,12,19,32,0,12,0,12,0,12,0,12,10,10,10,10,0,12,"list(c(-76.935916, -76.932944, -76.932047, -76.930054, -76.929767, -76.927604, -76.928696, -76.929322, -76.929316, -76.93101, -76.93304, -76.933624, -76.934832, -76.935916, 38.885981, 38.885709, 38.889806, 38.88982, 38.889344, 38.888652, 38.883656, 38.880769, 38.880674, 38.88068, 38.881491, 38.882273, 38.883733, 38.885981))"
11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",397,189,8,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,0,12,0,12,0,12,8,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,45,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,45,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,45,69,0,12,139,145,0,12,0,12,0,12,0,12,0,12,0,12,73,105,73,105,0,12,66,89,0,12,0,12,66,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,205,146,205,146,103,103,0,12,0,12,10,16,0,12,59,94,0,12,0,12,0,12,0,12,34,44,0,12,0,12,38,53,0,12,0,12,0,12,38,53,0,12,0,12,0,12,0,12,0,12,64,73,0,12,0,12,64,73,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,"list(c(-76.98301, -76.981778, -76.980922, -76.978838, -76.976208, -76.970205, -76.972461, -76.976216, -76.982399, -76.98301, 38.900717, 38.902706, 38.904009, 38.907271, 38.906282, 38.905621, 38.904587, 38.903068, 38.900522, 38.900717))"
11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",332,188,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,14,21,14,21,14,21,14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,82,92,69,88,0,12,69,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,21,0,12,0,12,0,12,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,228,170,228,170,72,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,72,88,0,12,0,12,0,12,0,12,118,142,0,12,0,12,0,12,118,142,0,12,0,12,0,12,0,12,0,12,38,60,0,12,0,12,0,12,0,12,0,12,0,12,38,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,"list(c(-77.002993, -77.002444, -76.994966, -76.99465, -76.995047, -76.996193, -77.000569, -77.000569, -77.00057, -77.003556, -77.002993, 38.925243, 38.925594, 38.925582, 38.925582, 38.92399, 38.921328, 38.919761, 38.922985, 38.923439, 38.923429, 38.925243))"
11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",47,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,10,0,12,0,12,0,12,0,12,0,12,5,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,76,42,76,0,12,42,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,"list(c(-76.953001, -76.949791, -76.948511, -76.948079, -76.949187, -76.948208, -76.945772, -76.944864, -76.942981, -76.9349713257387, -76.9359441963954, -76.9394901437423, -76.9436412723316, -76.9467019673844, -76.9467461839551, -76.951324, -76.953001, 38.866279, 38.867902, 38.871309, 38.874471, 38.877888, 38.879533, 38.880869, 38.879093, 38.877043, 38.8728417778189, 38.8720799964498, 38.8693034334956, 38.8660529989201, 38.8636564003058, 38.8636217776563, 38.865594, 38.866279))"
11001000100,"Census Tract 1, District of Columbia, District of Columbia",1214,338,500,267,157,185,47,44,32,37,15,24,0,17,0,17,0,17,0,17,110,176,0,17,206,119,37,58,0,17,62,78,86,65,21,35,0,17,0,17,38,38,25,31,0,17,0,17,0,17,13,22,0,17,99,98,0,17,0,17,0,17,0,17,0,17,32,49,0,17,0,17,0,17,0,17,0,17,48,78,0,17,19,31,0,17,0,17,0,17,0,17,237,158,122,83,60,58,34,42,0,17,26,39,4,11,58,55,0,17,78,122,0,17,78,122,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,23,0,17,23,34,23,34,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,39,41,10,17,0,17,0,17,0,17,0,17,10,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,36,29,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,72,58,72,58,15,23,57,53,0,17,0,17,366,173,353,172,68,64,0,17,0,17,68,64,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,36,42,21,33,0,17,15,24,0,17,0,17,0,17,0,17,0,17,0,17,249,143,37,45,0,17,0,17,24,34,150,116,0,17,0,17,38,54,0,17,0,17,0,17,13,22,13,22,0,17,"list(c(-77.068723, -77.062749, -77.062811, -77.062846, -77.063448, -77.063582, -77.064904, -77.065139, -77.067824, -77.068752, -77.067388, -77.066894, -77.063824, -77.059084, -77.05832, -77.059067, -77.055323, -77.05312, -77.05126, -77.050146, -77.053601, -77.055491, -77.055916, -77.056637, -77.057787, -77.058538, -77.056653, -77.056637, -77.055942, -77.063252, -77.0646579445255, -77.067299, -77.068199, -77.0693711968326, -77.068723, 38.901015, 38.902101, 38.905177, 38.906414, 38.907609, 38.90786, 
38.91036, 38.910806, 38.915804, 38.916966, 38.917759, 38.918656, 38.918446, 38.918313, 38.917762, 38.91592, 38.91293, 38.91215, 38.910753, 38.909635, 38.908496, 38.905254, 38.904536, 38.903295, 38.902545, 38.901036, 38.897669, 38.894789, 38.893082, 38.891775, 38.8918438452555, 38.899211, 38.899811, 38.9003662511312, 38.901015))"
11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",1439,306,515,193,205,128,158,124,158,124,0,17,0,17,21,24,26,28,0,17,0,17,0,17,165,99,0,17,19,29,97,69,38,38,11,20,0,17,0,17,78,62,0,17,78,62,0,17,0,17,0,17,0,17,67,52,0,17,0,17,0,17,0,17,9,14,15,23,0,17,0,17,0,17,0,17,13,21,16,26,0,17,0,17,0,17,0,17,14,22,0,17,511,204,139,78,88,59,66,52,19,29,3,6,32,42,7,11,12,16,277,197,0,17,29,33,5,14,226,191,2,5,0,17,15,26,0,17,0,17,0,17,37,38,0,17,0,17,0,17,0,17,0,17,31,36,6,13,0,17,0,17,0,17,44,42,0,17,0,17,11,18,0,17,12,18,21,35,0,17,0,17,0,17,0,17,0,17,14,24,73,54,32,37,0,17,0,17,32,37,0,17,0,17,0,17,0,17,0,17,28,33,16,27,12,19,0,17,0,17,0,17,0,17,0,17,13,21,0,17,0,17,6,13,7,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,340,126,314,123,35,53,0,17,4,11,0,17,0,17,31,53,0,17,0,17,0,17,0,17,0,17,0,17,0,17,63,63,0,17,0,17,0,17,0,17,0,17,0,17,18,28,45,58,0,17,216,97,41,50,43,49,85,72,0,17,15,23,19,29,0,17,0,17,0,17,13,22,0,17,26,30,26,30,0,17,"list(c(-77.1054024360726, -77.102381, -77.100631, -77.098579, -77.099429, -77.098963, -77.09548, -77.096422, -77.09325, -77.091069, -77.088163, -77.085585, -77.08183, -77.079765, -77.079155, -77.08039, -77.081514, -77.081987, -77.082272, -77.082035, -77.088746, -77.088705, -77.092711, -77.094673, -77.096354, -77.1010155931084, -77.1012, -77.1016445994152, -77.1034, -77.1054024360726, 38.9171920702241, 38.919821, 38.919731, 38.921149, 38.92207, 38.922222, 38.927008, 38.929977, 38.932603, 38.933197, 
38.9353, 38.937662, 38.93494, 38.933432, 38.932985, 38.930196, 38.926154, 38.922341, 38.921493, 38.919318, 38.919166, 38.91644, 38.916261, 38.915629, 38.91412, 38.9109831445552, 38.911111, 38.9114747631579, 38.912911, 38.9171920702241))"
