GIDBG,State,State_name,County,County_name,Tract,Block_group,Flag,LAND_AREA,AIAN_LAND,URBANIZED_AREA_POP_CEN_2010,URBAN_CLUSTER_POP_CEN_2010,RURAL_POP_CEN_2010,Tot_Population_CEN_2010,Tot_Population_ACS_13_17,Pop_18_24_ACS_13_17,Pop_25_44_ACS_13_17,Pop_45_64_ACS_13_17,Pop_65plus_ACS_13_17,Hispanic_ACS_13_17,NH_White_alone_ACS_13_17,NH_Blk_alone_ACS_13_17,NH_AIAN_alone_ACS_13_17,NH_Asian_alone_ACS_13_17,Pop_5yrs_Over_ACS_13_17,Othr_Lang_ACS_13_17,ENG_VW_SPAN_ACS_13_17,ENG_VW_INDO_EURO_ACS_13_17,ENG_VW_API_ACS_13_17,ENG_VW_OTHER_ACS_13_17,ENG_VW_ACS_13_17,Mail_Return_Rate_CEN_2010,Low_Response_Score,pct_Pop_18_24_ACS_13_17,pct_Pop_25_44_ACS_13_17,pct_Pop_45_64_ACS_13_17,pct_Pop_65plus_ACS_13_17,pct_Hispanic_CEN_2010,pct_Hispanic_ACS_13_17,pct_NH_White_alone_CEN_2010,pct_NH_White_alone_ACS_13_17,pct_NH_Blk_alone_CEN_2010,pct_NH_Blk_alone_ACS_13_17,pct_NH_AIAN_alone_CEN_2010,pct_NH_AIAN_alone_ACS_13_17,pct_NH_Asian_alone_CEN_2010,pct_NH_Asian_alone_ACS_13_17,pct_NH_NHOPI_alone_CEN_2010,pct_NH_NHOPI_alone_ACS_13_17,pct_NH_SOR_alone_CEN_2010,pct_NH_SOR_alone_ACS_13_17,pct_ENG_VW_SPAN_ACS_13_17,pct_ENG_VW_INDOEURO_ACS_13_17,pct_ENG_VW_API_ACS_13_17,pct_ENG_VW_OTHER_ACS_13_17,pct_ENG_VW_ACS_13_17
110010001001,11,District of Columbia,001,District of Columbia,000100,1,,0.314,0,1343,0,0,1343,1501,133,441,422,169,207,1076,21,0,135,1425,472,0,0,0,0,0,81.3,22.4,8.86,29.38,28.11,11.26,8.12,13.79,84.66,71.69,1.56,1.4,0.22,0,4.02,8.99,0.07,0,0.22,0,0,0,0,0,0
110010001002,11,District of Columbia,001,District of Columbia,000100,2,,0.077,0,1384,0,0,1384,1501,46,725,230,335,73,1320,32,0,60,1434,311,0,0,0,0,0,82.1,18.4,3.06,48.3,15.32,22.32,4.7,4.86,86.49,87.94,2.38,2.13,0.29,0,3.76,4,0.07,0,0.22,0,0,0,0,0,0
110010001003,11,District of Columbia,001,District of Columbia,000100,3,,0.075,0,1163,0,0,1163,1018,0,424,270,226,93,814,0,0,86,968,232,0,0,0,0,0,85.0,15.8,0,41.65,26.52,22.2,5.42,9.14,87.96,79.96,1.38,0,0,0,4.04,8.45,0,0,0.17,0,0,0,0,0,0
110010001004,11,District of Columbia,001,District of Columbia,000100,4,,0.255,0,1000,0,0,1000,1150,91,300,362,194,252,883,0,0,15,1079,327,0,0,0,0,0,77.6,18.4,7.91,26.09,31.48,16.87,5.9,21.91,84.5,76.78,3.1,0,0.1,0,4.5,1.3,0,0,0.7,0,0,0,0,0,0
110010002011,11,District of Columbia,001,District of Columbia,000201,1,,0.209,0,3916,0,0,3916,3682,3626,8,0,0,436,2351,272,7,493,3682,1201,0,0,0,0,0,100.0,8.2,98.48,0.22,0,0,7.02,11.84,69.97,63.85,6.36,7.39,0.1,0.19,12.26,13.39,0.13,0,0.18,0,,,,,
110010002021,11,District of Columbia,001,District of Columbia,000202,1,,0.073,0,1196,0,0,1196,1186,178,357,192,268,99,964,52,0,18,1101,168,0,0,0,0,0,82.1,19.7,15.01,30.1,16.19,22.6,5.52,8.35,86.12,81.28,2.01,4.38,0,0,4.52,1.52,0.08,0,0.42,0,0,0,0,0,0
110010002022,11,District of Columbia,001,District of Columbia,000202,2,,0.052,0,813,0,0,813,517,34,90,128,245,0,500,0,0,8,517,95,0,0,0,0,0,83.6,6.4,6.58,17.41,24.76,47.39,4.31,0,89.05,96.71,0.37,0,0.12,0,4.31,1.55,0,0,0,0,0,0,0,0,0
110010002023,11,District of Columbia,001,District of Columbia,000202,3,,0.06,0,1053,0,0,1053,870,163,348,176,43,135,659,57,0,19,843,401,0,0,0,0,0,77.4,24.1,18.74,40,20.23,4.94,7.03,15.52,84.33,75.75,1.33,6.55,0.09,0,5.32,2.18,0,0,0.09,0,0,0,0,0,0
110010002024,11,District of Columbia,001,District of Columbia,000202,4,,0.125,0,2363,0,0,2363,1900,1243,247,228,163,129,1317,218,0,151,1890,445,10,11,0,0,21,73.6,26.3,65.42,13,12,8.58,7.11,6.79,76.01,69.32,4.61,11.47,0.04,0,9.52,7.95,0.08,0,0.25,0,1.93,2.13,0,0,4.06
110010003001,11,District of Columbia,001,District of Columbia,000300,1,,0.097,0,1384,0,0,1384,1115,178,434,231,84,0,1028,0,0,72,1019,170,0,0,0,0,0,77.2,21.5,15.96,38.92,20.72,7.53,4.34,0,84.47,92.2,1.73,0,0.29,0,6.58,6.46,0,0,0.22,0,0,0,0,0,0
110010003002,11,District of Columbia,001,District of Columbia,000300,2,,0.046,0,1487,0,0,1487,1335,110,893,167,61,77,996,0,0,158,1248,269,0,0,15,14,29,77.5,17.1,8.24,66.89,12.51,4.57,8.07,5.77,78.68,74.61,3.5,0,0.27,0,6.59,11.84,0,0,0.2,0,0,0,1.99,1.86,3.86
110010003003,11,District of Columbia,001,District of Columbia,000300,3,,0.188,0,1788,0,0,1788,1937,753,370,411,285,164,1153,331,0,269,1893,553,24,0,0,0,24,76.5,23.8,38.87,19.1,21.22,14.71,8.67,8.47,81.38,59.53,2.24,17.09,0.06,0,5.43,13.89,0.06,0,0.17,0,4,0,0,0,4
110010003004,11,District of Columbia,001,District of Columbia,000300,4,,0.063,0,1574,0,0,1574,1987,243,920,284,103,54,1758,136,0,14,1776,165,0,0,0,0,0,76.7,16.8,12.23,46.3,14.29,5.18,4.38,2.72,88.44,88.48,1.21,6.84,0.06,0,3.94,0.7,0,0,0.06,0,0,0,0,0,0
110010004001,11,District of Columbia,001,District of Columbia,000400,1,,0.207,0,654,0,0,654,523,5,114,160,112,43,390,33,0,51,491,92,0,0,0,0,0,85.4,15.8,0.96,21.8,30.59,21.41,6.88,8.22,84.25,74.57,3.52,6.31,0,0,3.82,9.75,0,0,0.92,0,0,0,0,0,0
110010004002,11,District of Columbia,001,District of Columbia,000400,2,,0.385,0,801,0,0,801,966,53,288,278,194,221,583,17,0,95,905,329,0,15,17,0,32,69.7,23.1,5.49,29.81,28.78,20.08,9.74,22.88,74.66,60.35,2.87,1.76,0.12,0,9.74,9.83,0,0,0.75,0,0,3.57,4.05,0,7.62
110010005011,11,District of Columbia,001,District of Columbia,000501,1,,0.241,0,1735,0,0,1735,1531,107,744,242,205,180,1204,59,0,64,1392,358,0,0,14,0,14,87.7,22.9,6.99,48.6,15.81,13.39,6.8,11.76,79.02,78.64,4.78,3.85,0.17,0,6.34,4.18,0.06,0,0.17,0,0,0,1.89,0,1.89
110010005012,11,District of Columbia,001,District of Columbia,000501,2,,0.122,0,1641,0,0,1641,2101,94,1127,365,297,331,1559,103,0,64,2101,601,19,13,0,0,32,89.6,24.3,4.47,53.64,17.37,14.14,6.89,15.75,80.32,74.2,2.38,4.9,0,0,8.29,3.05,0,0,0.06,0,1.55,1.06,0,0,2.61
110010005021,11,District of Columbia,001,District of Columbia,000502,1,,0.157,0,1850,0,0,1850,1844,104,696,453,266,325,1327,31,0,97,1776,401,20,0,0,0,20,83.8,20.4,5.64,37.74,24.57,14.43,10.54,17.62,79.14,71.96,2.38,1.68,0.22,0,5.78,5.26,0,0.98,0.27,0,2.47,0,0,0,2.47
110010005022,11,District of Columbia,001,District of Columbia,000502,2,,0.068,0,1339,0,0,1339,1452,102,620,343,287,166,1177,62,0,24,1403,230,38,0,0,0,38,85.7,18.7,7.02,42.7,23.62,19.77,5.68,11.43,81.11,81.06,3.36,4.27,0.07,0,6.27,1.65,0,0,0.3,0,4.71,0,0,0,4.71
110010006001,11,District of Columbia,001,District of Columbia,000600,1,,0.083,0,1127,0,0,1127,1231,160,400,334,183,262,858,97,0,14,1182,237,0,0,0,0,0,86.3,20.1,13,32.49,27.13,14.87,8.43,21.28,81.72,69.7,2.75,7.88,0.18,0,4.97,1.14,0.09,0,0.09,0,0,0,0,0,0
110010006002,11,District of Columbia,001,District of Columbia,000600,2,,0.177,0,1107,0,0,1107,888,42,217,199,246,295,550,22,0,21,820,138,10,0,0,0,10,87.5,16.8,4.73,24.44,22.41,27.7,8.04,33.22,81.84,61.94,2.62,2.48,0.09,0,4.25,2.36,0,0,0.18,0,2.3,0,0,0,2.3
110010006003,11,District of Columbia,001,District of Columbia,000600,3,,0.067,0,592,0,0,592,845,67,337,134,139,0,647,12,0,113,790,141,0,0,16,0,16,84.1,12.9,7.93,39.88,15.86,16.45,7.43,0,78.21,76.57,4.73,1.42,0.17,0,5.07,13.37,0,0,1.18,0,0,0,4.46,0,4.46
110010006004,11,District of Columbia,001,District of Columbia,000600,4,,0.23,0,1713,0,0,1713,2034,67,367,826,471,219,1499,140,0,140,1932,317,0,0,0,0,0,88.5,15.4,3.29,18.04,40.61,23.16,6.07,10.77,79.22,73.7,7.53,6.88,0.12,0,4.14,6.88,0.06,0,0.18,0.44,0,0,0,0,0
110010007011,11,District of Columbia,001,District of Columbia,000701,1,,0.067,0,1577,0,0,1577,1345,154,563,336,199,1,925,294,0,99,1293,241,0,0,25,0,25,82.1,12.4,11.45,41.86,24.98,14.8,13.63,0.07,68.55,68.77,6.02,21.86,0.32,0,7.86,7.36,0,0,0.63,0,0,0,2.99,0,2.99
110010007012,11,District of Columbia,001,District of Columbia,000701,2,,0.031,0,658,0,0,658,1176,141,400,302,253,132,764,143,0,62,1128,334,0,20,0,0,20,79.7,22.5,11.99,34.01,25.68,21.51,10.79,11.22,73.1,64.97,5.93,12.16,0,0,8.05,5.27,0,0,1.22,0,0,2.62,0,0,2.62
110010007013,11,District of Columbia,001,District of Columbia,000701,3,,0.051,0,1252,0,0,1252,1949,9,346,557,942,72,1730,0,52,15,1926,238,0,0,0,0,0,88.2,7.1,0.46,17.75,28.58,48.33,4.23,3.69,89.22,88.76,2.48,0,0.16,2.67,2.8,0.77,0,0,0.16,0,0,0,0,0,0
110010007014,11,District of Columbia,001,District of Columbia,000701,4,,0.063,0,1133,0,0,1133,1173,188,340,224,265,24,908,37,0,204,1056,322,0,46,0,0,46,84.5,20.8,16.03,28.99,19.1,22.59,6,2.05,79.79,77.41,4.41,3.15,0.09,0,6.44,17.39,0.35,0,0.62,0,0,8.24,0,0,8.24
110010007021,11,District of Columbia,001,District of Columbia,000702,1,,0.055,0,1255,0,0,1255,1488,38,660,429,164,132,1017,114,0,141,1386,436,0,0,4,0,4,82.6,20.8,2.55,44.35,28.83,11.02,10.6,8.87,79.12,68.35,3.35,7.66,0.08,0,4.14,9.48,0,0,0.56,4.5,0,0,0.43,0,0.43
110010007022,11,District of Columbia,001,District of Columbia,000702,2,,0.028,0,1063,0,0,1063,1003,199,524,113,125,184,626,58,0,88,961,402,0,27,0,0,27,79.8,32.2,19.84,52.24,11.27,12.46,12.89,18.34,63.78,62.41,8.75,5.78,0.19,0,11.38,8.77,0,0,0.28,0,0,3.44,0,0,3.44
110010007023,11,District of Columbia,001,District of Columbia,000702,3,,0.03,0,1046,0,0,1046,827,34,684,14,95,50,640,17,0,90,827,253,0,47,66,0,113,79.3,20.8,4.11,82.71,1.69,11.49,8.32,6.05,80.31,77.39,4.3,2.06,0,0,4.21,10.88,0.1,0,0.57,0,0,9.33,13.1,0,22.42
