GIDBG,State_name,County,Tract,Block_group,LAND_AREA,Pop_5yrs_Over_ACS_13_17,Othr_Lang_ACS_13_17,ENG_VW_SPAN_ACS_13_17,ENG_VW_INDO_EURO_ACS_13_17,ENG_VW_API_ACS_13_17,ENG_VW_OTHER_ACS_13_17,ENG_VW_ACS_13_17,pct_Hispanic_CEN_2010,pct_Hispanic_ACS_13_17,pct_ENG_VW_SPAN_ACS_13_17,pct_ENG_VW_INDOEURO_ACS_13_17,pct_ENG_VW_API_ACS_13_17,pct_ENG_VW_OTHER_ACS_13_17,pct_ENG_VW_ACS_13_17
110010001001,District of Columbia,001,000100,1,0.314,1425,472,0,0,0,0,0,8.12,13.79,0,0,0,0,0
110010001002,District of Columbia,001,000100,2,0.077,1434,311,0,0,0,0,0,4.7,4.86,0,0,0,0,0
110010001003,District of Columbia,001,000100,3,0.075,968,232,0,0,0,0,0,5.42,9.14,0,0,0,0,0
110010001004,District of Columbia,001,000100,4,0.255,1079,327,0,0,0,0,0,5.9,21.91,0,0,0,0,0
110010002011,District of Columbia,001,000201,1,0.209,3682,1201,0,0,0,0,0,7.02,11.84,,,,,
110010002021,District of Columbia,001,000202,1,0.073,1101,168,0,0,0,0,0,5.52,8.35,0,0,0,0,0
110010002022,District of Columbia,001,000202,2,0.052,517,95,0,0,0,0,0,4.31,0,0,0,0,0,0
110010002023,District of Columbia,001,000202,3,0.06,843,401,0,0,0,0,0,7.03,15.52,0,0,0,0,0
110010002024,District of Columbia,001,000202,4,0.125,1890,445,10,11,0,0,21,7.11,6.79,1.93,2.13,0,0,4.06
110010003001,District of Columbia,001,000300,1,0.097,1019,170,0,0,0,0,0,4.34,0,0,0,0,0,0
110010003002,District of Columbia,001,000300,2,0.046,1248,269,0,0,15,14,29,8.07,5.77,0,0,1.99,1.86,3.86
110010003003,District of Columbia,001,000300,3,0.188,1893,553,24,0,0,0,24,8.67,8.47,4,0,0,0,4
110010003004,District of Columbia,001,000300,4,0.063,1776,165,0,0,0,0,0,4.38,2.72,0,0,0,0,0
110010004001,District of Columbia,001,000400,1,0.207,491,92,0,0,0,0,0,6.88,8.22,0,0,0,0,0
110010004002,District of Columbia,001,000400,2,0.385,905,329,0,15,17,0,32,9.74,22.88,0,3.57,4.05,0,7.62
110010005011,District of Columbia,001,000501,1,0.241,1392,358,0,0,14,0,14,6.8,11.76,0,0,1.89,0,1.89
110010005012,District of Columbia,001,000501,2,0.122,2101,601,19,13,0,0,32,6.89,15.75,1.55,1.06,0,0,2.61
110010005021,District of Columbia,001,000502,1,0.157,1776,401,20,0,0,0,20,10.54,17.62,2.47,0,0,0,2.47
110010005022,District of Columbia,001,000502,2,0.068,1403,230,38,0,0,0,38,5.68,11.43,4.71,0,0,0,4.71
110010006001,District of Columbia,001,000600,1,0.083,1182,237,0,0,0,0,0,8.43,21.28,0,0,0,0,0
110010006002,District of Columbia,001,000600,2,0.177,820,138,10,0,0,0,10,8.04,33.22,2.3,0,0,0,2.3
110010006003,District of Columbia,001,000600,3,0.067,790,141,0,0,16,0,16,7.43,0,0,0,4.46,0,4.46
110010006004,District of Columbia,001,000600,4,0.23,1932,317,0,0,0,0,0,6.07,10.77,0,0,0,0,0
110010007011,District of Columbia,001,000701,1,0.067,1293,241,0,0,25,0,25,13.63,0.07,0,0,2.99,0,2.99
110010007012,District of Columbia,001,000701,2,0.031,1128,334,0,20,0,0,20,10.79,11.22,0,2.62,0,0,2.62
110010007013,District of Columbia,001,000701,3,0.051,1926,238,0,0,0,0,0,4.23,3.69,0,0,0,0,0
110010007014,District of Columbia,001,000701,4,0.063,1056,322,0,46,0,0,46,6,2.05,0,8.24,0,0,8.24
110010007021,District of Columbia,001,000702,1,0.055,1386,436,0,0,4,0,4,10.6,8.87,0,0,0.43,0,0.43
110010007022,District of Columbia,001,000702,2,0.028,961,402,0,27,0,0,27,12.89,18.34,0,3.44,0,0,3.44
110010007023,District of Columbia,001,000702,3,0.03,827,253,0,47,66,0,113,8.32,6.05,0,9.33,13.1,0,22.42
110010008011,District of Columbia,001,000801,1,0.078,1907,673,13,0,0,0,13,11.74,9.34,1.09,0,0,0,1.09
110010008012,District of Columbia,001,000801,2,0.339,844,162,0,0,0,0,0,7.27,14.57,0,0,0,0,0
110010008013,District of Columbia,001,000801,3,0.48,2089,288,0,0,0,0,0,5.87,7.13,0,0,0,0,0
110010008014,District of Columbia,001,000801,4,0.235,1166,481,0,14,0,0,14,7.08,11.39,0,4.01,0,0,4.01
110010008021,District of Columbia,001,000802,1,0.369,1878,747,28,13,8,0,49,8.66,13.79,3.09,1.43,0.88,0,5.41
110010008022,District of Columbia,001,000802,2,0.263,1402,204,0,8,0,0,8,7.07,19.37,0,1.89,0,0,1.89
110010009011,District of Columbia,001,000901,1,0.249,1705,542,0,0,0,0,0,4.26,13.74,0,0,0,0,0
110010009012,District of Columbia,001,000901,2,0.53,1552,528,0,0,11,0,11,6.44,12.57,0,0,1.84,0,1.84
110010009013,District of Columbia,001,000901,3,0.362,4311,1400,11,0,0,0,11,6.59,15.68,2.57,0,0,0,2.57
110010009021,District of Columbia,001,000902,1,0.171,1148,361,0,0,0,0,0,7.08,22.56,0,0,0,0,0
110010009022,District of Columbia,001,000902,2,0.547,1365,181,0,0,0,0,0,4.02,4.7,0,0,0,0,0
110010010011,District of Columbia,001,001001,1,0.107,923,203,0,0,0,0,0,10.43,2.97,0,0,0,0,0
110010010012,District of Columbia,001,001001,2,0.191,1807,444,0,43,0,0,43,6.17,8.25,0,4.79,0,0,4.79
110010010013,District of Columbia,001,001001,3,0.129,845,45,0,0,0,0,0,6.02,0,0,0,0,0,0
110010010014,District of Columbia,001,001001,4,0.27,1629,561,0,0,0,0,0,7.4,12.42,0,0,0,0,0
110010010015,District of Columbia,001,001001,5,0.114,982,225,0,0,0,0,0,4.64,24.34,0,0,0,0,0
110010010016,District of Columbia,001,001001,6,0.136,1124,366,0,0,0,0,0,7.57,8.96,0,0,0,0,0
110010010021,District of Columbia,001,001002,1,0.126,1232,610,0,0,15,0,15,7.89,27.27,0,0,2.41,0,2.41
110010010022,District of Columbia,001,001002,2,0.086,1382,144,0,18,0,0,18,8.52,9.05,0,2.18,0,0,2.18
110010010023,District of Columbia,001,001002,3,0.132,761,93,0,0,0,0,0,6.59,5.43,0,0,0,0,0
110010011001,District of Columbia,001,001100,1,0.164,1732,319,0,0,25,0,25,6.62,11.45,0,0,2.99,0,2.99
110010011002,District of Columbia,001,001100,2,0.182,1283,152,0,0,0,0,0,6.24,3.06,0,0,0,0,0
110010011003,District of Columbia,001,001100,3,0.062,815,172,0,0,18,0,18,6.54,17.48,0,0,4.46,0,4.46
110010011004,District of Columbia,001,001100,4,0.24,654,50,0,0,0,0,0,6.09,3.29,0,0,0,0,0
110010012001,District of Columbia,001,001200,1,0.074,1741,473,0,23,0,0,23,7.85,11.05,0,2.26,0,0,2.26
110010012002,District of Columbia,001,001200,2,0.069,841,63,0,0,0,0,0,6.68,8.64,0,0,0,0,0
110010012003,District of Columbia,001,001200,3,0.076,726,119,0,0,0,0,0,7.77,0,0,0,0,0,0
110010012004,District of Columbia,001,001200,4,0.251,1411,446,0,0,0,0,0,9.16,10.26,0,0,0,0,0
110010013011,District of Columbia,001,001301,1,0.808,1565,510,26,0,43,0,69,6.53,11.21,3.4,0,5.62,0,9.02
110010013012,District of Columbia,001,001301,2,0.21,818,30,0,0,0,0,0,7.96,0.23,0,0,0,0,0
110010013013,District of Columbia,001,001301,3,0.084,1550,240,0,16,21,0,37,7.83,12.98,0,1.8,2.37,0,4.17
110010013021,District of Columbia,001,001302,1,0.158,2330,757,27,0,63,10,100,7.62,14.97,1.85,0,4.32,0.69,6.85
110010013022,District of Columbia,001,001302,2,0.263,4402,1059,145,76,0,0,221,6.39,12.82,5.15,2.7,0,0,7.85
110010013023,District of Columbia,001,001302,3,0.194,624,126,0,0,0,0,0,8.22,3.53,0,0,0,0,0
110010014011,District of Columbia,001,001401,1,0.138,2035,580,17,10,23,0,50,8.57,10.5,1.63,0.96,2.21,0,4.8
110010014012,District of Columbia,001,001401,2,0.166,1058,156,0,0,0,0,0,3.85,8.02,0,0,0,0,0
110010014021,District of Columbia,001,001402,1,0.13,858,115,0,0,0,0,0,4.31,17.3,0,0,0,0,0
110010014022,District of Columbia,001,001402,2,0.139,975,160,0,0,9,0,9,5.14,11.65,0,0,1.59,0,1.59
110010014023,District of Columbia,001,001402,3,0.077,1150,501,48,26,0,0,74,11.86,23.42,7.37,3.99,0,0,11.37
110010015001,District of Columbia,001,001500,1,1.204,1580,243,0,18,0,0,18,7.56,10.35,0,3.25,0,0,3.25
110010015002,District of Columbia,001,001500,2,0.122,800,144,0,0,0,0,0,4.93,8.25,0,0,0,0,0
110010015003,District of Columbia,001,001500,3,0.11,848,234,0,0,0,0,0,4.73,0,0,0,0,0,0
110010015004,District of Columbia,001,001500,4,0.25,1601,195,0,0,0,0,0,4.67,9.98,0,0,0,0,0
110010015005,District of Columbia,001,001500,5,0.124,1057,123,0,0,0,0,0,3.1,5.78,0,0,0,0,0
110010016001,District of Columbia,001,001600,1,0.185,1206,95,0,0,0,0,0,4.48,9.46,0,0,0,0,0
110010016002,District of Columbia,001,001600,2,0.075,608,40,0,0,0,0,0,10.13,0.31,0,0,0,0,0
110010016003,District of Columbia,001,001600,3,0.137,676,208,0,0,0,0,0,3.05,9,0,0,0,0,0
110010016004,District of Columbia,001,001600,4,0.627,1903,333,0,17,0,0,17,4.23,6.57,0,2.86,0,0,2.86
110010017021,District of Columbia,001,001702,1,0.162,1427,231,51,0,0,0,51,7.32,17.03,6.99,0,0,0,6.99
110010017022,District of Columbia,001,001702,2,0.199,1639,297,23,0,0,4,27,8.75,10.55,3.15,0,0,0.55,3.7
110010018031,District of Columbia,001,001803,1,0.382,1031,452,57,0,0,68,125,13.69,20.03,11.9,0,0,14.2,26.1
110010018032,District of Columbia,001,001803,2,0.057,2687,1833,124,10,0,133,267,28.45,33.5,11.41,0.92,0,12.24,24.56
110010018041,District of Columbia,001,001804,1,0.075,1110,378,0,0,0,36,36,23.39,19.73,0,0,0,6.24,6.24
110010018042,District of Columbia,001,001804,2,0.088,1327,345,0,0,0,12,12,25.44,15.03,0,0,0,2.26,2.26
110010018043,District of Columbia,001,001804,3,0.069,2687,1866,213,8,0,151,372,29.92,38.99,20.96,0.79,0,14.86,36.61
110010019011,District of Columbia,001,001901,1,0.091,902,147,0,0,0,7,7,13.53,4.57,0,0,0,1.85,1.85
110010019012,District of Columbia,001,001901,2,0.066,904,169,7,0,0,0,7,9.83,17.98,2.1,0,0,0,2.1
110010019013,District of Columbia,001,001901,3,0.067,1378,289,0,0,0,9,9,24.69,17.23,0,0,0,1.89,1.89
110010019014,District of Columbia,001,001901,4,0.073,572,114,0,0,0,23,23,9.99,0,0,0,0,10.41,10.41
110010019021,District of Columbia,001,001902,1,0.165,1572,286,4,0,0,0,4,9.9,13.39,0.84,0,0,0,0.84
110010019022,District of Columbia,001,001902,2,0.178,793,356,34,0,0,0,34,7.67,27.66,10.24,0,0,0,10.24
110010020011,District of Columbia,001,002001,1,0.052,1683,928,78,8,0,7,93,37.63,41.73,13,1.33,0,1.17,15.5
110010020012,District of Columbia,001,002001,2,0.191,1179,301,9,7,0,0,16,13.52,9.55,2.12,1.65,0,0,3.76
110010020021,District of Columbia,001,002002,1,0.133,952,167,26,0,0,8,34,12.9,7.91,8.1,0,0,2.49,10.59
110010020022,District of Columbia,001,002002,2,0.055,1684,756,82,13,0,22,117,31.63,40.25,14.04,2.23,0,3.77,20.03
110010020023,District of Columbia,001,002002,3,0.141,1310,160,0,9,0,0,9,15.63,4.81,0,2.21,0,0,2.21
110010021011,District of Columbia,001,002101,1,0.071,1455,375,53,0,0,0,53,24.4,7.01,9.25,0,0,0,9.25
110010021012,District of Columbia,001,002101,2,0.033,556,185,0,0,0,0,0,38.89,35.13,0,0,0,0,0
110010021013,District of Columbia,001,002101,3,0.051,1041,226,0,61,0,0,61,25.81,6.75,0,13.86,0,0,13.86
110010021014,District of Columbia,001,002101,4,0.046,708,295,74,0,0,0,74,38.34,39.97,21.76,0,0,0,21.76
110010021015,District of Columbia,001,002101,5,0.032,790,389,0,0,0,18,18,35.14,27.94,0,0,0,5.1,5.1
110010021021,District of Columbia,001,002102,1,0.064,747,36,0,0,0,0,0,10.76,3.58,0,0,0,0,0
110010021022,District of Columbia,001,002102,2,0.052,543,19,0,0,0,0,0,14.06,2.25,0,0,0,0,0
110010021023,District of Columbia,001,002102,3,0.038,1274,412,12,0,0,0,12,13.65,26.3,2.68,0,0,0,2.68
